name,year,housing_units_count
Irwindale,2019,518.24
Pico-Union,2019,13618.7
Glendora,2019,18158.15
Industry,2019,6227.91
Sylmar,2019,22156.3
Torrance,2019,57909.46
Alhambra,2019,31641.86
Pico Rivera,2019,17658.74
Rolling Hills Estates,2019,3979.88
Signal Hill,2019,4989.54
Hawthorne,2019,31484.39
North Hills,2019,17637.3
Hacienda Heights,2019,16456.77
Harbor Gateway,2019,13329.57
Lopez/Kagel Canyons,2019,500.5
Citrus,2019,3197.47
Lake Balboa,2019,9621.27
Granada Hills,2019,18161.58
Palms,2019,22173.63
Santa Monica,2019,49937.82
Pacoima,2019,18126.26
Toluca Lake,2019,4982.07
Veterans Administration,2019,178.87
Valley Village,2019,12184.21
Brentwood,2019,16944.48
Pomona,2019,40592.63
South Whittier,2019,14926.31
Pasadena,2019,62695
Winnetka,2019,17228.48
Palmdale,2019,47114.48
Porter Ranch,2019,8816.06
South El Monte,2019,4967
Tujunga Canyons,2019,2728.44
Commerce,2019,3665.68
San Fernando,2019,7007.88
Sherman Oaks,2019,35512.72
Bradbury,2019,570.15
Panorama City,2019,19684.51
Northridge,2019,23652.64
Culver City,2019,15913.37
Lakewood,2019,26839.72
Compton,2019,25308.44
Vernon,2019,112.28
San Dimas,2019,12467.86
Inglewood,2019,38510.85
Charter Oak,2019,2884.94
Paramount,2019,14955.51
San Pedro,2019,33115.04
Lincoln Heights,2019,9139.33
Boyle Heights,2019,25467.81
Historic South-Central,2019,12223.07
Avalon,2019,2202.57
Westlake,2019,42628.99
Mission Hills,2019,5526.19
Quartz Hill,2019,3665.18
Marina del Rey,2019,5995.4
Bell,2019,9363.58
Long Beach,2019,173901.44
San Gabriel,2019,13854.35
Downey,2019,34620.04
Diamond Bar,2019,15354.16
La Canada Flintridge,2019,7397.48
West Covina,2019,31727.88
Redondo Beach,2019,29880.08
Vermont Square,2019,15046.23
Santa Fe Springs,2019,6467.58
Calabasas,2019,7118.1
Altadena,2019,15874.34
Bell Gardens,2019,10005.85
Sun Valley,2019,20104.14
Playa Vista,2019,7065.8
Carson,2019,25667.23
Hollywood Hills,2019,13688.68
Lancaster,2019,52938.85
Leona Valley,2019,808.13
Whittier,2019,27462.81
Walnut,2019,9476.54
Castaic Canyons,2019,13147.73
Silver Lake,2019,15052.88
Whittier Narrows,2019,2057.72
Glendale,2019,78884.97
West Whittier-Los Nietos,2019,6501.24
Atwater Village,2019,5120.4
East Whittier,2019,3450.1
El Sereno,2019,12589.84
Montecito Heights,2019,6708.9
Florence,2019,13431.48
Huntington Park,2019,15429.07
Cheviot Hills,2019,3564.48
Cypress Park,2019,2877.31
Desert View Highlands,2019,622.88
Baldwin Park,2019,18565.24
Montebello,2019,19895.57
Leimert Park,2019,6046.13
Santa Clarita,2019,59826.98
Elysian Park,2019,935.36
Wilmington,2019,15391.49
Jefferson Park,2019,9152.67
Downtown,2019,36154.32
Encino,2019,20218.93
West Adams,2019,7879.15
Hawaiian Gardens,2019,4058.22
Agoura Hills,2019,6678.49
Baldwin Hills/Crenshaw,2019,14806.44
Lake View Terrace,2019,3859.04
Adams-Normandie,2019,5857.84
El Monte,2019,29564.25
Rancho Dominguez,2019,928.19
Acton,2019,1106.03
Studio City,2019,20357.27
La Puente,2019,9627.76
North Hollywood,2019,33378.87
Rosemead,2019,14553.26
San Marino,2019,5016.79
East San Gabriel,2019,7400.84
South Park,2019,8657.75
Burbank,2019,43784.47
Woodland Hills,2019,29459
Angeles Crest,2019,1559.07
East Compton,2019,2714.24
Chatsworth,2019,19126.65
Mayflower Village,2019,2984.64
Koreatown,2019,48721.29
South Gate,2019,24576.02
Elysian Valley,2019,2506.74
Claremont,2019,13793.9
Avocado Heights,2019,3601.88
South San Gabriel,2019,2486.34
Northwest Antelope Valley,2019,2279.81
Echo Park,2019,14322.27
Lynwood,2019,15495.16
Unincorporated Santa Susana Mountains,2019,8291.35
Shadow Hills,2019,5016.26
La Habra Heights,2019,3413.36
Covina,2019,17799.11
Northwest Palmdale,2019,1269.7
Sawtelle,2019,20857.05
Rancho Park,2019,2459.22
East Los Angeles,2019,32894.59
Beverlywood,2019,2843.32
Bellflower,2019,24856
Azusa,2019,13018.89
Del Rey,2019,13696.25
Mid-Wilshire,2019,21950.84
North Whittier,2019,2340.82
Beverly Crest,2019,5183.79
Cerritos,2019,16133.84
West Hills,2019,13563.81
Vincent,2019,3774.56
Sun Village,2019,514.69
Playa del Rey,2019,6374.06
Valinda,2019,4462.82
Tujunga,2019,10783.52
Exposition Park,2019,10809.25
Eagle Rock,2019,12176.72
Harbor City,2019,9123.29
Southeast Antelope Valley,2019,3113.58
Reseda,2019,22392.54
Willowbrook,2019,9633.2
Highland Park,2019,17674.6
Temple City,2019,12576.16
Westlake Village,2019,3139.49
Pico-Robertson,2019,8543.77
Monrovia,2019,14251.91
Broadway-Manchester,2019,7769.46
Sunland,2019,5510.31
Agua Dulce,2019,1483.51
Malibu,2019,5086.28
Topanga,2019,3094.74
Northeast Antelope Valley,2019,7327.12
Arleta,2019,8301.51
Van Nuys,2019,39117.24
Mar Vista,2019,16431.57
Valley Glen,2019,21530.48
Arcadia,2019,22431.72
Windsor Square,2019,2937.33
West Puente Valley,2019,4571.52
Central-Alameda,2019,10471.66
Arlington Heights,2019,7683.61
Harvard Heights,2019,6277.58
Harvard Park,2019,3175.16
East Hollywood,2019,25757.26
Lennox,2019,4878.62
Larchmont,2019,3915.37
Tarzana,2019,15167.17
Rolling Hills,2019,1222.64
Mid-City,2019,20561.18
Westchester,2019,17434.97
Manchester Square,2019,4639.53
Rowland Heights,2019,13230.27
Ridge Route,2019,2415.65
South San Jose Hills,2019,4326.26
Vermont-Slauson,2019,8548.52
Athens,2019,3163.31
Mount Washington,2019,5411.08
West Compton,2019,1986.3
Los Feliz,2019,18496.72
Chinatown,2019,4370.94
Century City,2019,3738.48
Florence-Firestone,2019,14999.78
University Park,2019,6174.9
Hollywood Hills West,2019,8277.59
Unincorporated Santa Monica Mountains,2019,9436.48
West Los Angeles,2019,6318.91
Hancock Park,2019,5423.31
Canoga Park,2019,20777.14
Chesterfield Square,2019,2862.07
Hidden Hills,2019,848.75
Norwalk,2019,27767.32
North El Monte,2019,796.73
Monterey Park,2019,21358.74
Hollywood,2019,43114.87
Fairfax,2019,7005.21
Glassell Park,2019,8450.42
Watts,2019,10975.54
La Verne,2019,11740.07
Rancho Palos Verdes,2019,16477.64
Green Meadows,2019,9354.19
Del Aire,2019,3179.08
Vermont Knolls,2019,7531.37
Castaic,2019,3371.77
Westwood,2019,21145.86
Venice,2019,20374.97
South Diamond Bar,2019,1668.91
Universal City,2019,79.37
Pacific Palisades,2019,10237.73
Bel-Air,2019,3265.79
East Pasadena,2019,2050.13
Cudahy,2019,5966.67
Palos Verdes Estates,2019,5367.82
Ladera Heights,2019,5811.85
Walnut Park,2019,3793.87
La Crescenta-Montrose,2019,6708.6
Gardena,2019,21326.99
Duarte,2019,7367.83
La Mirada,2019,14517.56
Maywood,2019,6415.61
Alondra Park,2019,2878.65
Beverly Grove,2019,13138.59
Vermont Vista,2019,7856.81
Lawndale,2019,10368.87
Hyde Park,2019,14932.53
Lomita,2019,8220.04
South Pasadena,2019,10616.45
Westmont,2019,11430.99
San Pasqual,2019,975.84
West Hollywood,2019,25478.76
Artesia,2019,4671.84
Manhattan Beach,2019,14966.61
West Carson,2019,7983.88
Hermosa Beach,2019,10027.75
Carthay,2019,2766.49
Beverly Hills,2019,17533.62
El Segundo,2019,6763.6
View Park-Windsor Hills,2019,5126.73
Sierra Madre,2019,5212.5
Gramercy Park,2019,4411.11
